속성,순서,책이름,저자,옮긴이,분류,별점,완독일,한줄평,파일과 미디어
No,141,침묵을 배우는 시간,코르넬리아 토프,장혜경,심리,★★★☆☆,2024년 10월 30일,행복은 쉴틈없이 떠드는 소음이 아닌 고요속에 있다.,
No,142,기획의 습관,최장순,최장순,자기계발,★★★★★,2024년 11월 8일,기획의 방법보다는 기획자가 갖추어야할 자세를 배울수 있다,
No,143,트렌드 코리아 2025,김난도,김난도,머니 트렌드,★★★★★,2024년 11월 16일,"올해도 핫한 트렌드와 키워드들을 분석해보고, 앞서가는 고마운 책",
No,144,후천적부자,이재범,이재범,경제경영,★★★☆☆,2024년 12월 3일,투자에 실패하는 이유는 자신의 원칙이 없거나 지키지 못해서이다.,
No,145,손실없는 투자원칙,냠석관,손선경,경제경영,★★★☆☆,2024년 12월 12일,실전투자를 할때 참고해야할 실전투자 지침서,
No,146,절망의 구,김이환,김이환,소설,★★★☆☆,2024년 10월 24일,세상이 멸망하는 상상을 한번쯤 해본다. 이 소설은 멸망한 세상보다도 더 참옥한 현실을 그렸다.,
No,147,프롬프트 엔지니어,서승완,채시온,IT,★★☆☆☆,2025년 2월 10일,잘 기억나진 않지만 프롬프트를 자유롭게 다루는 기술,
No,148,AI 2025 트렌드 & 활용백과,김덕진,김덕진,머니 트렌드,★★★☆☆,2024년 12월 26일,국내에서 AI하면 가장 먼저 떠오르는 이름 ‘김덕진’ AI에 관심이 있다면 반드시 읽어보자.,
No,149,나는 당신이 달러 투자를 시작했으면 좋겠습니다.,황호봉,황호봉,경제경영,★★★☆☆,2025년 1월 15일,"환율이 무엇인지, 달러가 어떻게 생겨났는지, 달러를 통해 경제의 흐름을 읽을수 있다",
No,150,머니트렌드 2025,정태익,김도윤,머니 트렌드,★★★☆☆,2025년 2월 11일,유행의 핵심은 따라하는것이 아니라 이해를 하는것이다,
No,151,AI 강의 2025,박태웅,박태웅,IT,★★☆☆☆,2025년 4월 9일,너무 내용이 어려워서 초급자들은 이해가 어려움,
No,152,노무현이 꿈꾼 나라,이정우 외 38명,이정우,인문,★★★☆☆,2025년 3월 14일,노무현님의 살아생전 독서의 열망을 느낄수 있다.,
No,153,조용한 퇴사,이호건,이호건,에세이,★★★★☆,2025년 5월 29일,MZ들과 기성세대들이 회사를 바라보는 차이를 느낄수 있는 책,
No,154,직업의 미래,서용석,서용석,경제경영,★★★☆☆,2025년 6월 4일,AI등장으로 달라지게 될 직업의 세계를 현실적으로 잘 설명했다,
No,155,결국 국민이 합니다,이재명,이재명,사회 정치,★☆☆☆☆,2025년 7월 24일,정치적 색깔이 뚜렷하고 계엄령 사태에서 자신이 생각한 말만 전하는 책,
No,156,한반도 전쟁 시나리오,최윤식,최윤식,사회 정치,★★★★☆,2025년 11월 22일,한반도 전쟁이 일어날 수 있는 두가지 현실적린 시나리오를 그렸다.,
No,157,궤도의 과학 허세,궤도,궤도,과학,★★★★☆,2025년 8월 14일,재미없는 과학 이야기를 이렇게 재밌게 설명하는 책은 없을것 같다,
No,158,세계시장 지각변동,박종훈,박종훈,경제경영,★★★★★,2025년 10월 16일,"현재 느끼고 있는 세계 정세를 쉽고, 정확하게 설명하는 책 너무 좋은 내용.",
No,159,직장은 다니고 있지만 내 일이 하고 싶다,박지영,박지영,경제경영,★★★★☆,2025년 8월 10일,창업을 하는 사람들이 꼭 알아둬야 할 마인드를 제시,
No,160,트렌드 코리아 2026,김난도,김난도,머니 트렌드,★★★★★,2025년 12월 30일,"인간과 AI의 조화, 제로 클릭",
No,161,AI 에이전트 2026,김덕진,김아람,IT,★★★★☆,2026년 3월 5일,"앞으로 다가올 AI 에이전트 트랜드를 분석하고, 당장 사용할 수 있는 기술들을 잘 정리해둔 책",
No,162,AI강의 2025,박태웅,박태웅,IT,★★★★★,2026년 3월 26일,AI리터러시에 있어서는 국내 그 어떤책보다도 심도 깊게 배울수 있는 책,
No,163,창업가의 생각노트,박지영,박지영,자기계발,★★★★☆,2026년 4월 6일,포기하지 않는 사람이 해낸다,
No,164,,,,,,,,
